prefix,opcode_hex,status,mnemonic,bytes,t_states,flags
ED,2A,INVALID,"INVALID",2,8,------
ED,2B,INVALID,"INVALID",2,8,------
ED,2C,INVALID,"INVALID",2,8,------
ED,2D,INVALID,"INVALID",2,8,------
ED,2E,INVALID,"INVALID",2,8,------
ED,2F,INVALID,"INVALID",2,8,------
ED,30,INVALID,"INVALID",2,8,------
ED,31,INVALID,"INVALID",2,8,------
ED,32,INVALID,"INVALID",2,8,------
ED,33,INVALID,"INVALID",2,8,------
ED,34,INVALID,"INVALID",2,8,------
ED,35,INVALID,"INVALID",2,8,------
ED,36,INVALID,"INVALID",2,8,------
ED,37,INVALID,"INVALID",2,8,------
ED,38,INVALID,"INVALID",2,8,------
ED,39,INVALID,"INVALID",2,8,------
ED,3A,INVALID,"INVALID",2,8,------
ED,3B,INVALID,"INVALID",2,8,------
ED,3C,INVALID,"INVALID",2,8,------
ED,3D,INVALID,"INVALID",2,8,------
ED,3E,INVALID,"INVALID",2,8,------
ED,3F,INVALID,"INVALID",2,8,------
ED,40,VALID,"IN B,(C)",2,12,**0-0-
ED,41,VALID,"OUT (C),B",2,12,------
ED,42,VALID,"SBC HL,BC",2,15,***-1*
ED,43,VALID,"LD (nn),BC",4,20,------
ED,44,VALID,"NEG",2,8,***-1*
ED,45,VALID,"RETN",2,14,------
ED,46,VALID,"IM 0",2,8,------
ED,47,VALID,"LD I,A",2,9,------
ED,48,VALID,"IN C,(C)",2,12,**0-0-
ED,49,VALID,"OUT (C),C",2,12,------
ED,4A,VALID,"ADC HL,BC",2,15,***-0*
ED,4B,VALID,"LD BC,(nn)",4,20,------
ED,4C,UNDOCUMENTED,"NEG",2,8,***-1*
ED,4D,VALID,"RETI",2,14,------
ED,4E,UNDOCUMENTED,"IM 0",2,8,------
ED,4F,VALID,"LD R,A",2,9,------
ED,50,VALID,"IN D,(C)",2,12,**0-0-
ED,51,VALID,"OUT (C),D",2,12,------
ED,52,VALID,"SBC HL,DE",2,15,***-1*
ED,53,VALID,"LD (nn),DE",4,20,------
ED,54,UNDOCUMENTED,"NEG",2,8,***-1*
ED,55,UNDOCUMENTED,"RETN",2,14,------
ED,56,VALID,"IM 1",2,8,------
ED,57,VALID,"LD A,I",2,9,**0*0-
ED,58,VALID,"IN E,(C)",2,12,**0-0-
ED,59,VALID,"OUT (C),E",2,12,------
ED,5A,VALID,"ADC HL,DE",2,15,***-0*
ED,5B,VALID,"LD DE,(nn)",4,20,------
ED,5C,UNDOCUMENTED,"NEG",2,8,***-1*
ED,5D,UNDOCUMENTED,"RETN",2,14,------
ED,5E,VALID,"IM 2",2,8,------
ED,5F,VALID,"LD A,R",2,9,**0*0-
ED,60,VALID,"IN H,(C)",2,12,**0-0-
ED,61,VALID,"OUT (C),H",2,12,------
ED,62,VALID,"SBC HL,HL",2,15,***-1*
ED,63,VALID,"LD (nn),HL",4,20,------
ED,64,UNDOCUMENTED,"NEG",2,8,***-1*
ED,65,UNDOCUMENTED,"RETN",2,14,------
ED,66,UNDOCUMENTED,"IM 0",2,8,------
ED,67,VALID,"RRD",2,18,**0-0-
ED,68,VALID,"IN L,(C)",2,12,**0-0-
ED,69,VALID,"OUT (C),L",2,12,------
ED,6A,VALID,"ADC HL,HL",2,15,***-0*
ED,6B,VALID,"LD HL,(nn)",4,20,------
ED,6C,UNDOCUMENTED,"NEG",2,8,***-1*
ED,6D,UNDOCUMENTED,"RETN",2,14,------
ED,6E,UNDOCUMENTED,"IM 0",2,8,------
ED,6F,VALID,"RLD",2,18,**0-0-
ED,70,UNDOCUMENTED,"IN F,(C)",2,12,**0-0-
ED,71,UNDOCUMENTED,"OUT (C),0",2,12,------
ED,72,VALID,"SBC HL,SP",2,15,***-1*
ED,73,VALID,"LD (nn),SP",4,20,------
ED,74,UNDOCUMENTED,"NEG",2,8,***-1*
ED,75,UNDOCUMENTED,"RETN",2,14,------
ED,76,UNDOCUMENTED,"IM 1",2,8,------
ED,77,INVALID,"INVALID",2,8,------
ED,78,VALID,"IN A,(C)",2,12,**0-0-
ED,79,VALID,"OUT (C),A",2,12,------
ED,7A,VALID,"ADC HL,SP",2,15,***-0*
ED,7B,VALID,"LD SP,(nn)",4,20,------
ED,7C,UNDOCUMENTED,"NEG",2,8,***-1*
ED,7D,UNDOCUMENTED,"RETN",2,14,------
ED,7E,UNDOCUMENTED,"IM 2",2,8,------
ED,7F,INVALID,"INVALID",2,8,------
ED,80,INVALID,"INVALID",2,8,------
ED,81,INVALID,"INVALID",2,8,------
ED,82,INVALID,"INVALID",2,8,------
ED,83,INVALID,"INVALID",2,8,------
ED,84,INVALID,"INVALID",2,8,------
ED,85,INVALID,"INVALID",2,8,------
ED,86,INVALID,"INVALID",2,8,------
ED,87,INVALID,"INVALID",2,8,------
ED,88,INVALID,"INVALID",2,8,------
ED,89,INVALID,"INVALID",2,8,------
ED,8A,INVALID,"INVALID",2,8,------
ED,8B,INVALID,"INVALID",2,8,------
ED,8C,INVALID,"INVALID",2,8,------
ED,8D,INVALID,"INVALID",2,8,------
ED,8E,INVALID,"INVALID",2,8,------
ED,8F,INVALID,"INVALID",2,8,------
ED,90,INVALID,"INVALID",2,8,------
ED,91,INVALID,"INVALID",2,8,------
ED,92,INVALID,"INVALID",2,8,------
ED,93,INVALID,"INVALID",2,8,------
ED,94,INVALID,"INVALID",2,8,------
ED,95,INVALID,"INVALID",2,8,------
ED,96,INVALID,"INVALID",2,8,------
ED,97,INVALID,"INVALID",2,8,------
ED,98,INVALID,"INVALID",2,8,------
ED,99,INVALID,"INVALID",2,8,------
ED,9A,INVALID,"INVALID",2,8,------
ED,9B,INVALID,"INVALID",2,8,------
ED,9C,INVALID,"INVALID",2,8,------
ED,9D,INVALID,"INVALID",2,8,------
ED,9E,INVALID,"INVALID",2,8,------
ED,9F,INVALID,"INVALID",2,8,------
ED,A0,VALID,"LDI",2,16,--0*0-
ED,A1,VALID,"CPI",2,16,**1*1-
ED,A2,VALID,"INI",2,16,**0-1-
ED,A3,VALID,"OUTI",2,16,**0-1-
ED,A4,INVALID,"INVALID",2,8,------
ED,A5,INVALID,"INVALID",2,8,------
ED,A6,INVALID,"INVALID",2,8,------
ED,A7,INVALID,"INVALID",2,8,------
ED,A8,VALID,"LDD",2,16,--0*0-
ED,A9,VALID,"CPD",2,16,**1*1-
ED,AA,VALID,"IND",2,16,**0-1-
ED,AB,VALID,"OUTD",2,16,**0-1-
ED,AC,INVALID,"INVALID",2,8,------
ED,AD,INVALID,"INVALID",2,8,------
ED,AE,INVALID,"INVALID",2,8,------
ED,AF,INVALID,"INVALID",2,8,------
ED,B0,VALID,"LDIR",2,21,--000-
ED,B1,VALID,"CPIR",2,21,**1*1-
ED,B2,VALID,"INIR",2,21,**0-1-
ED,B3,VALID,"OTIR",2,21,**0-1-
ED,B4,INVALID,"INVALID",2,8,------
ED,B5,INVALID,"INVALID",2,8,------
ED,B6,INVALID,"INVALID",2,8,------
ED,B7,INVALID,"INVALID",2,8,------
ED,B8,VALID,"LDDR",2,21,--000-
ED,B9,VALID,"CPDR",2,21,**1*1-
ED,BA,VALID,"INDR",2,21,**0-1-
ED,BB,VALID,"OTDR",2,21,**0-1-
ED,BC,INVALID,"INVALID",2,8,------
ED,BD,INVALID,"INVALID",2,8,------
ED,BE,INVALID,"INVALID",2,8,------
ED,BF,INVALID,"INVALID",2,8,------
ED,C0,INVALID,"INVALID",2,8,------
ED,C1,INVALID,"INVALID",2,8,------
ED,C2,INVALID,"INVALID",2,8,------
ED,C3,INVALID,"INVALID",2,8,------
ED,C4,INVALID,"INVALID",2,8,------
ED,C5,INVALID,"INVALID",2,8,------
ED,C6,INVALID,"INVALID",2,8,------
ED,C7,INVALID,"INVALID",2,8,------
ED,C8,INVALID,"INVALID",2,8,------
ED,C9,INVALID,"INVALID",2,8,------
ED,CA,INVALID,"INVALID",2,8,------
ED,CB,INVALID,"INVALID",2,8,------
ED,CC,INVALID,"INVALID",2,8,------
ED,CD,INVALID,"INVALID",2,8,------
ED,CE,INVALID,"INVALID",2,8,------
ED,CF,INVALID,"INVALID",2,8,------
ED,D0,INVALID,"INVALID",2,8,------
ED,D1,INVALID,"INVALID",2,8,------
ED,D2,INVALID,"INVALID",2,8,------
ED,D3,INVALID,"INVALID",2,8,------
ED,D4,INVALID,"INVALID",2,8,------
ED,D5,INVALID,"INVALID",2,8,------
ED,D6,INVALID,"INVALID",2,8,------
ED,D7,INVALID,"INVALID",2,8,------
ED,D8,INVALID,"INVALID",2,8,------
ED,D9,INVALID,"INVALID",2,8,------
ED,DA,INVALID,"INVALID",2,8,------
ED,DB,INVALID,"INVALID",2,8,------
ED,DC,INVALID,"INVALID",2,8,------
ED,DD,INVALID,"INVALID",2,8,------
ED,DE,INVALID,"INVALID",2,8,------
ED,DF,INVALID,"INVALID",2,8,------
ED,E0,INVALID,"INVALID",2,8,------
ED,E1,INVALID,"INVALID",2,8,------
ED,E2,INVALID,"INVALID",2,8,------
ED,E3,INVALID,"INVALID",2,8,------
ED,E4,INVALID,"INVALID",2,8,------
ED,E5,INVALID,"INVALID",2,8,------
ED,E6,INVALID,"INVALID",2,8,------
ED,E7,INVALID,"INVALID",2,8,------
ED,E8,INVALID,"INVALID",2,8,------
ED,E9,INVALID,"INVALID",2,8,------
ED,EA,INVALID,"INVALID",2,8,------
ED,EB,INVALID,"INVALID",2,8,------
ED,EC,INVALID,"INVALID",2,8,------
ED,ED,INVALID,"INVALID",2,8,------
ED,EE,INVALID,"INVALID",2,8,------
ED,EF,INVALID,"INVALID",2,8,------
ED,F0,INVALID,"INVALID",2,8,------
ED,F1,INVALID,"INVALID",2,8,------
ED,F2,INVALID,"INVALID",2,8,------
ED,F3,INVALID,"INVALID",2,8,------
ED,F4,INVALID,"INVALID",2,8,------
ED,F5,INVALID,"INVALID",2,8,------
ED,F6,INVALID,"INVALID",2,8,------
ED,F7,INVALID,"INVALID",2,8,------
ED,F8,INVALID,"INVALID",2,8,------
ED,F9,INVALID,"INVALID",2,8,------
ED,FA,INVALID,"INVALID",2,8,------
ED,FB,INVALID,"INVALID",2,8,------
ED,FC,INVALID,"INVALID",2,8,------
ED,FD,INVALID,"INVALID",2,8,------
ED,FE,INVALID,"INVALID",2,8,------
ED,FF,INVALID,"INVALID",2,8,------
DD,00,ALIAS,"ALIAS",1,4,------
DD,01,ALIAS,"ALIAS",1,4,------
DD,02,ALIAS,"ALIAS",1,4,------
DD,03,ALIAS,"ALIAS",1,4,------
DD,04,ALIAS,"ALIAS",1,4,------
DD,05,ALIAS,"ALIAS",1,4,------
DD,06,ALIAS,"ALIAS",1,4,------
DD,07,ALIAS,"ALIAS",1,4,------
DD,08,ALIAS,"ALIAS",1,4,------
DD,09,VALID,"ADD IX,BC",2,15,--*-0*
DD,0A,ALIAS,"ALIAS",1,4,------
DD,0B,ALIAS,"ALIAS",1,4,------
DD,0C,ALIAS,"ALIAS",1,4,------
DD,0D,ALIAS,"ALIAS",1,4,------
DD,0E,ALIAS,"ALIAS",1,4,------
DD,0F,ALIAS,"ALIAS",1,4,------
DD,10,ALIAS,"ALIAS",1,4,------
DD,11,ALIAS,"ALIAS",1,4,------
DD,12,ALIAS,"ALIAS",1,4,------
DD,13,ALIAS,"ALIAS",1,4,------
DD,14,ALIAS,"ALIAS",1,4,------
DD,15,ALIAS,"ALIAS",1,4,------
DD,16,ALIAS,"ALIAS",1,4,------
DD,17,ALIAS,"ALIAS",1,4,------
DD,18,ALIAS,"ALIAS",1,4,------
DD,19,VALID,"ADD IX,DE",2,15,--*-0*
DD,1A,ALIAS,"ALIAS",1,4,------
DD,1B,ALIAS,"ALIAS",1,4,------
DD,1C,ALIAS,"ALIAS",1,4,------
DD,1D,ALIAS,"ALIAS",1,4,------
DD,1E,ALIAS,"ALIAS",1,4,------
DD,1F,ALIAS,"ALIAS",1,4,------
DD,20,ALIAS,"ALIAS",1,4,------
DD,21,VALID,"LD IX,nn",4,14,------
DD,22,VALID,"LD (nn),IX",4,20,------
DD,23,VALID,"INC IX",2,10,------
DD,24,UNDOCUMENTED,"INC IXH",2,8,***-0-
DD,25,UNDOCUMENTED,"DEC IXH",2,8,***-1-
DD,26,UNDOCUMENTED,"LD IXH,n",3,11,------
DD,27,ALIAS,"ALIAS",1,4,------
DD,28,ALIAS,"ALIAS",1,4,------
DD,29,VALID,"ADD IX,IX",2,15,--*-0*
DD,2A,VALID,"LD IX,(nn)",4,20,------
DD,2B,VALID,"DEC IX",2,10,------
DD,2C,UNDOCUMENTED,"INC IXL",2,8,***-0-
DD,2D,UNDOCUMENTED,"DEC IXL",2,8,***-1-
DD,2E,UNDOCUMENTED,"LD IXL,n",3,11,------
DD,2F,ALIAS,"ALIAS",1,4,------
DD,30,ALIAS,"ALIAS",1,4,------
DD,31,ALIAS,"ALIAS",1,4,------
DD,32,ALIAS,"ALIAS",1,4,------
DD,33,ALIAS,"ALIAS",1,4,------
DD,34,VALID,"INC (IX+d)",3,23,***-0-
DD,35,VALID,"DEC (IX+d)",3,23,***-1-
DD,36,VALID,"LD (IX+d),n",4,19,------
DD,37,ALIAS,"ALIAS",1,4,------
DD,38,ALIAS,"ALIAS",1,4,------
DD,39,VALID,"ADD IX,SP",2,15,--*-0*
DD,3A,ALIAS,"ALIAS",1,4,------
DD,3B,ALIAS,"ALIAS",1,4,------
DD,3C,ALIAS,"ALIAS",1,4,------
DD,3D,ALIAS,"ALIAS",1,4,------
DD,3E,ALIAS,"ALIAS",1,4,------
DD,3F,ALIAS,"ALIAS",1,4,------
DD,40,ALIAS,"ALIAS",1,4,------
DD,41,ALIAS,"ALIAS",1,4,------
DD,42,ALIAS,"ALIAS",1,4,------
DD,43,ALIAS,"ALIAS",1,4,------
DD,44,UNDOCUMENTED,"LD B,IXH",2,8,------
DD,45,UNDOCUMENTED,"LD B,IXL",2,8,------
DD,46,VALID,"LD B,(IX+d)",3,19,------
DD,47,ALIAS,"ALIAS",1,4,------
DD,48,ALIAS,"ALIAS",1,4,------
DD,49,ALIAS,"ALIAS",1,4,------
DD,4A,ALIAS,"ALIAS",1,4,------
DD,4B,ALIAS,"ALIAS",1,4,------
DD,4C,UNDOCUMENTED,"LD C,IXH",2,8,------
DD,4D,UNDOCUMENTED,"LD C,IXL",2,8,------
DD,4E,VALID,"LD C,(IX+d)",3,19,------
DD,4F,ALIAS,"ALIAS",1,4,------
DD,50,ALIAS,"ALIAS",1,4,------
DD,51,ALIAS,"ALIAS",1,4,------
DD,52,ALIAS,"ALIAS",1,4,------
DD,53,ALIAS,"ALIAS",1,4,------
DD,54,UNDOCUMENTED,"LD D,IXH",2,8,------
DD,55,UNDOCUMENTED,"LD D,IXL",2,8,------
DD,56,VALID,"LD D,(IX+d)",3,19,------
DD,57,ALIAS,"ALIAS",1,4,------
DD,58,ALIAS,"ALIAS",1,4,------
DD,59,ALIAS,"ALIAS",1,4,------
DD,5A,ALIAS,"ALIAS",1,4,------
DD,5B,ALIAS,"ALIAS",1,4,------
DD,5C,UNDOCUMENTED,"LD E,IXH",2,8,------
DD,5D,UNDOCUMENTED,"LD E,IXL",2,8,------
DD,5E,VALID,"LD E,(IX+d)",3,19,------
DD,5F,ALIAS,"ALIAS",1,4,------
DD,60,UNDOCUMENTED,"LD IXH,B",2,8,------
DD,61,UNDOCUMENTED,"LD IXH,C",2,8,------
DD,62,UNDOCUMENTED,"LD IXH,D",2,8,------
DD,63,UNDOCUMENTED,"LD IXH,E",2,8,------
DD,64,UNDOCUMENTED,"LD IXH,IXH",2,8,------
DD,65,UNDOCUMENTED,"LD IXH,IXL",2,8,------
DD,66,VALID,"LD H,(IX+d)",3,19,------
DD,67,UNDOCUMENTED,"LD IXH,A",2,8,------
DD,68,UNDOCUMENTED,"LD IXL,B",2,8,------
DD,69,UNDOCUMENTED,"LD IXL,C",2,8,------
DD,6A,UNDOCUMENTED,"LD IXL,D",2,8,------
DD,6B,UNDOCUMENTED,"LD IXL,E",2,8,------
DD,6C,UNDOCUMENTED,"LD IXL,IXH",2,8,------
DD,6D,UNDOCUMENTED,"LD IXL,IXL",2,8,------
DD,6E,VALID,"LD L,(IX+d)",3,19,------
DD,6F,UNDOCUMENTED,"LD IXL,A",2,8,------
DD,70,VALID,"LD (IX+d),B",3,19,------
DD,71,VALID,"LD (IX+d),C",3,19,------
DD,72,VALID,"LD (IX+d),D",3,19,------
DD,73,VALID,"LD (IX+d),E",3,19,------
DD,74,VALID,"LD (IX+d),H",3,19,------
DD,75,VALID,"LD (IX+d),L",3,19,------
DD,76,ALIAS,"HALT",1,4,------
DD,77,VALID,"LD (IX+d),A",3,19,------
DD,78,ALIAS,"ALIAS",1,4,------
DD,79,ALIAS,"ALIAS",1,4,------
DD,7A,ALIAS,"ALIAS",1,4,------
DD,7B,ALIAS,"ALIAS",1,4,------
DD,7C,UNDOCUMENTED,"LD A,IXH",2,8,------
DD,7D,UNDOCUMENTED,"LD A,IXL",2,8,------
DD,7E,VALID,"LD A,(IX+d)",3,19,------
DD,7F,ALIAS,"ALIAS",1,4,------
DD,80,ALIAS,"ALIAS",1,4,------
DD,81,ALIAS,"ALIAS",1,4,------
DD,82,ALIAS,"ALIAS",1,4,------
DD,83,ALIAS,"ALIAS",1,4,------
DD,84,UNDOCUMENTED,"ADD A,IXH",2,8,***-0*
DD,85,UNDOCUMENTED,"ADD A,IXL",2,8,***-0*
DD,86,VALID,"ADD A,(IX+d)",3,19,***-0*
DD,87,ALIAS,"ALIAS",1,4,------
DD,88,ALIAS,"ALIAS",1,4,------
DD,89,ALIAS,"ALIAS",1,4,------
DD,8A,ALIAS,"ALIAS",1,4,------
DD,8B,ALIAS,"ALIAS",1,4,------
DD,8C,UNDOCUMENTED,"ADC A,IXH",2,8,***-0*
DD,8D,UNDOCUMENTED,"ADC A,IXL",2,8,***-0*
DD,8E,VALID,"ADC A,(IX+d)",3,19,***-0*
DD,8F,ALIAS,"ALIAS",1,4,------
DD,90,ALIAS,"ALIAS",1,4,------
DD,91,ALIAS,"ALIAS",1,4,------
DD,92,ALIAS,"ALIAS",1,4,------
DD,93,ALIAS,"ALIAS",1,4,------
DD,94,UNDOCUMENTED,"SUB IXH",2,8,***-1*
DD,95,UNDOCUMENTED,"SUB IXL",2,8,***-1*
DD,96,VALID,"SUB (IX+d)",3,19,***-1*
DD,97,ALIAS,"ALIAS",1,4,------
DD,98,ALIAS,"ALIAS",1,4,------
DD,99,ALIAS,"ALIAS",1,4,------
DD,9A,ALIAS,"ALIAS",1,4,------
DD,9B,ALIAS,"ALIAS",1,4,------
DD,9C,UNDOCUMENTED,"SBC A,IXH",2,8,***-1*
DD,9D,UNDOCUMENTED,"SBC A,IXL",2,8,***-1*
DD,9E,VALID,"SBC A,(IX+d)",3,19,***-1*
DD,9F,ALIAS,"ALIAS",1,4,------
DD,A0,ALIAS,"ALIAS",1,4,------
DD,A1,ALIAS,"ALIAS",1,4,------
DD,A2,ALIAS,"ALIAS",1,4,------
DD,A3,ALIAS,"ALIAS",1,4,------
DD,A4,UNDOCUMENTED,"AND IXH",2,8,**1-00
DD,A5,UNDOCUMENTED,"AND IXL",2,8,**1-00
DD,A6,VALID,"AND (IX+d)",3,19,**1-00
DD,A7,ALIAS,"ALIAS",1,4,------
DD,A8,ALIAS,"ALIAS",1,4,------
DD,A9,ALIAS,"ALIAS",1,4,------
DD,AA,ALIAS,"ALIAS",1,4,------
DD,AB,ALIAS,"ALIAS",1,4,------
DD,AC,UNDOCUMENTED,"XOR IXH",2,8,**0-00
DD,AD,UNDOCUMENTED,"XOR IXL",2,8,**0-00
DD,AE,VALID,"XOR (IX+d)",3,19,**0-00
DD,AF,ALIAS,"ALIAS",1,4,------
DD,B0,ALIAS,"ALIAS",1,4,------
DD,B1,ALIAS,"ALIAS",1,4,------
DD,B2,ALIAS,"ALIAS",1,4,------
DD,B3,ALIAS,"ALIAS",1,4,------
DD,B4,UNDOCUMENTED,"OR IXH",2,8,**0-00
DD,B5,UNDOCUMENTED,"OR IXL",2,8,**0-00
DD,B6,VALID,"OR (IX+d)",3,19,**0-00
DD,B7,ALIAS,"ALIAS",1,4,------
DD,B8,ALIAS,"ALIAS",1,4,------
DD,B9,ALIAS,"ALIAS",1,4,------
DD,BA,ALIAS,"ALIAS",1,4,------
DD,BB,ALIAS,"ALIAS",1,4,------
DD,BC,UNDOCUMENTED,"CP IXH",2,8,***-1*
DD,BD,UNDOCUMENTED,"CP IXL",2,8,***-1*
DD,BE,VALID,"CP (IX+d)",3,19,***-1*
DD,BF,ALIAS,"ALIAS",1,4,------
DD,C0,ALIAS,"ALIAS",1,4,------
DD,C1,ALIAS,"ALIAS",1,4,------
DD,C2,ALIAS,"ALIAS",1,4,------
DD,C3,ALIAS,"ALIAS",1,4,------
DD,C4,ALIAS,"ALIAS",1,4,------
DD,C5,ALIAS,"ALIAS",1,4,------
DD,C6,ALIAS,"ALIAS",1,4,------
DD,C7,ALIAS,"ALIAS",1,4,------
DD,C8,ALIAS,"ALIAS",1,4,------
DD,C9,ALIAS,"ALIAS",1,4,------
DD,CA,ALIAS,"ALIAS",1,4,------
DD,CB,VALID,"PREFIX DDCB",2,0,------
DD,CC,ALIAS,"ALIAS",1,4,------
DD,CD,ALIAS,"ALIAS",1,4,------
DD,CE,ALIAS,"ALIAS",1,4,------
DD,CF,ALIAS,"ALIAS",1,4,------
DD,D0,ALIAS,"ALIAS",1,4,------
DD,D1,ALIAS,"ALIAS",1,4,------
DD,D2,ALIAS,"ALIAS",1,4,------
DD,D3,ALIAS,"ALIAS",1,4,------
DD,D4,ALIAS,"ALIAS",1,4,------
DD,D5,ALIAS,"ALIAS",1,4,------
DD,D6,ALIAS,"ALIAS",1,4,------
DD,D7,ALIAS,"ALIAS",1,4,------
DD,D8,ALIAS,"ALIAS",1,4,------
DD,D9,ALIAS,"ALIAS",1,4,------
DD,DA,ALIAS,"ALIAS",1,4,------
DD,DB,ALIAS,"ALIAS",1,4,------
DD,DC,ALIAS,"ALIAS",1,4,------
DD,DD,ALIAS,"PREFIX DD",2,4,------
DD,DE,ALIAS,"ALIAS",1,4,------
DD,DF,ALIAS,"ALIAS",1,4,------
DD,E0,ALIAS,"ALIAS",1,4,------
DD,E1,VALID,"POP IX",2,14,------
DD,E2,ALIAS,"ALIAS",1,4,------
DD,E3,VALID,"EX (SP),IX",2,23,------
DD,E4,ALIAS,"ALIAS",1,4,------
DD,E5,VALID,"PUSH IX",2,15,------
DD,E6,ALIAS,"ALIAS",1,4,------
DD,E7,ALIAS,"ALIAS",1,4,------
DD,E8,ALIAS,"ALIAS",1,4,------
DD,E9,VALID,"JP (IX)",2,8,------
DD,EA,ALIAS,"ALIAS",1,4,------
DD,EB,ALIAS,"ALIAS",1,4,------
DD,EC,ALIAS,"ALIAS",1,4,------
DD,ED,ALIAS,"PREFIX ED",2,4,------
DD,EE,ALIAS,"ALIAS",1,4,------
DD,EF,ALIAS,"ALIAS",1,4,------
DD,F0,ALIAS,"ALIAS",1,4,------
DD,F1,ALIAS,"ALIAS",1,4,------
DD,F2,ALIAS,"ALIAS",1,4,------
DD,F3,ALIAS,"ALIAS",1,4,------
DD,F4,ALIAS,"ALIAS",1,4,------
DD,F5,ALIAS,"ALIAS",1,4,------
DD,F6,ALIAS,"ALIAS",1,4,------
DD,F7,ALIAS,"ALIAS",1,4,------
DD,F8,ALIAS,"ALIAS",1,4,------
DD,F9,VALID,"LD SP,IX",2,10,------
DD,FA,ALIAS,"ALIAS",1,4,------
DD,FB,ALIAS,"ALIAS",1,4,------
DD,FC,ALIAS,"ALIAS",1,4,------
DD,FD,ALIAS,"PREFIX FD",2,4,------
DD,FE,ALIAS,"ALIAS",1,4,------
DD,FF,ALIAS,"ALIAS",1,4,------
FD,00,ALIAS,"ALIAS",1,4,------
FD,01,ALIAS,"ALIAS",1,4,------
FD,02,ALIAS,"ALIAS",1,4,------
FD,03,ALIAS,"ALIAS",1,4,------
FD,04,ALIAS,"ALIAS",1,4,------
FD,05,ALIAS,"ALIAS",1,4,------
FD,06,ALIAS,"ALIAS",1,4,------
FD,07,ALIAS,"ALIAS",1,4,------
FD,08,ALIAS,"ALIAS",1,4,------
FD,09,VALID,"ADD IY,BC",2,15,--*-0*
FD,0A,ALIAS,"ALIAS",1,4,------
FD,0B,ALIAS,"ALIAS",1,4,------
FD,0C,ALIAS,"ALIAS",1,4,------
FD,0D,ALIAS,"ALIAS",1,4,------
FD,0E,ALIAS,"ALIAS",1,4,------
FD,0F,ALIAS,"ALIAS",1,4,------
FD,10,ALIAS,"ALIAS",1,4,------
FD,11,ALIAS,"ALIAS",1,4,------
FD,12,ALIAS,"ALIAS",1,4,------
FD,13,ALIAS,"ALIAS",1,4,------
FD,14,ALIAS,"ALIAS",1,4,------
FD,15,ALIAS,"ALIAS",1,4,------
FD,16,ALIAS,"ALIAS",1,4,------
FD,17,ALIAS,"ALIAS",1,4,------
FD,18,ALIAS,"ALIAS",1,4,------
FD,19,VALID,"ADD IY,DE",2,15,--*-0*
FD,1A,ALIAS,"ALIAS",1,4,------
FD,1B,ALIAS,"ALIAS",1,4,------
FD,1C,ALIAS,"ALIAS",1,4,------
FD,1D,ALIAS,"ALIAS",1,4,------
FD,1E,ALIAS,"ALIAS",1,4,------
FD,1F,ALIAS,"ALIAS",1,4,------
FD,20,ALIAS,"ALIAS",1,4,------
FD,21,VALID,"LD IY,nn",4,14,------
FD,22,VALID,"LD (nn),IY",4,20,------
FD,23,VALID,"INC IY",2,10,------
FD,24,UNDOCUMENTED,"INC IYH",2,8,***-0-
FD,25,UNDOCUMENTED,"DEC IYH",2,8,***-1-
FD,26,UNDOCUMENTED,"LD IYH,n",3,11,------
FD,27,ALIAS,"ALIAS",1,4,------
FD,28,ALIAS,"ALIAS",1,4,------
FD,29,VALID,"ADD IY,IY",2,15,--*-0*
FD,2A,VALID,"LD IY,(nn)",4,20,------
FD,2B,VALID,"DEC IY",2,10,------
FD,2C,UNDOCUMENTED,"INC IYL",2,8,***-0-
FD,2D,UNDOCUMENTED,"DEC IYL",2,8,***-1-
FD,2E,UNDOCUMENTED,"LD IYL,n",3,11,------
FD,2F,ALIAS,"ALIAS",1,4,------
FD,30,ALIAS,"ALIAS",1,4,------
FD,31,ALIAS,"ALIAS",1,4,------
FD,32,ALIAS,"ALIAS",1,4,------
FD,33,ALIAS,"ALIAS",1,4,------
FD,34,VALID,"INC (IY+d)",3,23,***-0-
FD,35,VALID,"DEC (IY+d)",3,23,***-1-
FD,36,VALID,"LD (IY+d),n",4,19,------
FD,37,ALIAS,"ALIAS",1,4,------
FD,38,ALIAS,"ALIAS",1,4,------
FD,39,VALID,"ADD IY,SP",2,15,--*-0*
FD,3A,ALIAS,"ALIAS",1,4,------
FD,3B,ALIAS,"ALIAS",1,4,------
FD,3C,ALIAS,"ALIAS",1,4,------
FD,3D,ALIAS,"ALIAS",1,4,------
FD,3E,ALIAS,"ALIAS",1,4,------
FD,3F,ALIAS,"ALIAS",1,4,------
FD,40,ALIAS,"ALIAS",1,4,------
FD,41,ALIAS,"ALIAS",1,4,------
FD,42,ALIAS,"ALIAS",1,4,------
FD,43,ALIAS,"ALIAS",1,4,------
FD,44,UNDOCUMENTED,"LD B,IYH",2,8,------
FD,45,UNDOCUMENTED,"LD B,IYL",2,8,------
FD,46,VALID,"LD B,(IY+d)",3,19,------
FD,47,ALIAS,"ALIAS",1,4,------
FD,48,ALIAS,"ALIAS",1,4,------
FD,49,ALIAS,"ALIAS",1,4,------
FD,4A,ALIAS,"ALIAS",1,4,------
FD,4B,ALIAS,"ALIAS",1,4,------
FD,4C,UNDOCUMENTED,"LD C,IYH",2,8,------
FD,4D,UNDOCUMENTED,"LD C,IYL",2,8,------
